--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2017 a 31/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83781;28/05/2018;0000;22.6;73.25;
83781;29/05/2018;0000;24;65;
83781;30/05/2018;0000;24.4;61.75;
83781;31/05/2018;0000;25.1;65.25;
83781;01/06/2018;0000;25.1;49.25;
83781;02/06/2018;0000;25.3;57.75;
83781;03/06/2018;0000;22.5;88.75;
83781;04/06/2018;0000;17.4;81.75;
83781;05/06/2018;0000;18.6;86.25;
83781;06/06/2018;0000;23.2;83;
83781;07/06/2018;0000;22.2;79.5;
83781;08/06/2018;0000;20.8;83.25;
83781;09/06/2018;0000;19.7;86.75;
83781;10/06/2018;0000;24.5;83.25;
83781;11/06/2018;0000;27.8;71.25;
83781;12/06/2018;0000;27.9;59;
83781;13/06/2018;0000;24.2;83.75;
83781;14/06/2018;0000;21.2;86.75;
83781;15/06/2018;0000;16.8;86;
83781;16/06/2018;0000;16.2;84.5;
83781;17/06/2018;0000;20.1;82.5;
83781;18/06/2018;0000;22;81.5;
83781;19/06/2018;0000;23.3;80.5;
83781;20/06/2018;0000;25.5;66.5;
83781;21/06/2018;0000;25.4;58;
83781;22/06/2018;0000;24.6;59.75;
83781;23/06/2018;0000;26.4;60.25;
83781;24/06/2018;0000;28.5;67;
83781;25/06/2018;0000;27.2;51.25;
83781;26/06/2018;0000;26.5;45;
83781;27/06/2018;0000;23.4;70.75;
83781;28/06/2018;0000;26;70;
83781;29/06/2018;0000;26.4;57.5;
83781;30/06/2018;0000;26.8;72;
83781;01/07/2018;0000;27.4;61.5;
83781;02/07/2018;0000;27.3;50;
83781;03/07/2018;0000;24.7;77.75;
83781;04/07/2018;0000;23.7;82.25;
83781;05/07/2018;0000;28.5;65.25;
83781;06/07/2018;0000;26.6;57;
83781;07/07/2018;0000;25.2;54.25;
83781;08/07/2018;0000;27.7;50.75;
83781;09/07/2018;0000;25.2;72.25;
83781;10/07/2018;0000;15.6;79.5;
83781;11/07/2018;0000;15.5;76.25;
83781;12/07/2018;0000;19.4;68.5;
83781;13/07/2018;0000;23.6;61.5;
83781;14/07/2018;0000;26.4;53.75;
83781;15/07/2018;0000;28.2;49.75;
83781;16/07/2018;0000;28.3;54;
83781;17/07/2018;0000;27;66.75;
83781;18/07/2018;0000;27.8;66;
83781;19/07/2018;0000;28.1;62.75;
83781;20/07/2018;0000;28.7;56;
83781;21/07/2018;0000;28.1;72.5;
83781;22/07/2018;0000;22.1;79.5;
83781;23/07/2018;0000;25.5;62.25;
